survey_id,survey_psu,survey_weight,survey_strata,sba,wealth,education,area
     101  17  2,101,0.342191,10,0,3,2,2
     101  19  4,101,0.342191,10,0,3,1,2
     101  46  2,101,0.342191,10,0,3,0,2
     101  47  2,101,0.342191,10,0,4,2,2
     101  54  2,101,0.342191,10,0,2,2,2
     101  67  2,101,0.342191,10,0,2,2,2
     101  70  2,101,0.342191,10,0,3,2,2
     101  74  1,101,0.342191,10,0,2,1,2
     101 101  6,101,0.342191,10,0,1,2,2
     102  14  2,102,0.342191,10,1,2,1,2
     102  15  6,102,0.342191,10,0,2,1,2
     102  17  1,102,0.342191,10,1,3,2,2
     102  44  2,102,0.342191,10,0,2,2,2
     102  74  2,102,0.342191,10,0,1,0,2
     102  75  4,102,0.342191,10,0,1,2,2
     102  79  2,102,0.342191,10,1,3,2,2
     102  80  1,102,0.342191,10,0,2,0,2
     102 101  1,102,0.342191,10,0,3,2,2
     102 107  1,102,0.342191,10,1,3,2,2
     102 108  1,102,0.342191,10,0,2,1,2
     103 108  1,103,0.342191,10,0,2,2,2
     103 110  2,103,0.342191,10,1,2,0,2
     103 112  2,103,0.342191,10,0,2,1,2
     103 114  6,103,0.342191,10,0,2,2,2
     103 115  1,103,0.342191,10,0,2,0,2
     103 191  2,103,0.342191,10,0,3,2,2
     103 193  3,103,0.342191,10,0,3,0,2
     103 276  3,103,0.342191,10,0,3,1,2
     103 279  4,103,0.342191,10,0,2,2,2
     104   1  2,104,0.342191,10,1,4,2,2
     104   6  2,104,0.342191,10,0,2,2,2
     104  10  2,104,0.342191,10,1,4,2,2
     104  46  2,104,0.342191,10,1,4,2,2
     104  51  2,104,0.342191,10,0,3,1,2
     104  83  5,104,0.342191,10,1,3,2,2
     104  90  2,104,0.342191,10,0,1,1,2
     104 127  3,104,0.342191,10,1,3,2,2
     104 130  6,104,0.342191,10,1,3,2,2
     105   6  1,105,0.342191,10,0,1,2,2
     105   9  2,105,0.342191,10,0,2,0,2
     105  23  7,105,0.342191,10,0,3,1,2
     105  30  2,105,0.342191,10,0,2,1,2
     105  43  2,105,0.342191,10,0,1,0,2
     105  44  1,105,0.342191,10,0,2,0,2
     105  51  2,105,0.342191,10,0,1,0,2
     105  53  2,105,0.342191,10,0,1,2,2
     105  54  4,105,0.342191,10,0,1,2,2
     105  57  2,105,0.342191,10,0,1,1,2
     201  31  1,201,1.025362,8,0,1,0,2
     201  43  2,201,1.025362,8,0,1,0,2
     201  45  2,201,1.025362,8,0,2,2,2
     201  47  3,201,1.025362,8,0,2,1,2
     201  63  2,201,1.025362,8,0,1,0,2
     201  64  2,201,1.025362,8,0,3,0,2
     202  57  2,202,1.025362,8,1,4,2,2
     202 218  2,202,1.025362,8,0,3,2,2
     202 289  3,202,1.025362,8,0,2,0,2
     202 290  2,202,1.025362,8,0,2,2,2
     203  21  2,203,1.025362,8,0,2,2,2
     203 117  2,203,1.025362,8,1,1,1,2
     203 119  2,203,1.025362,8,0,2,0,2
     203 126  1,203,1.025362,8,0,1,1,2
     203 166  1,203,1.025362,8,0,2,2,2
     301  58  3,301,1.025362,8,0,3,2,2
     301  59  1,301,1.025362,8,1,1,1,2
     301  59  3,301,1.025362,8,0,1,1,2
     301  62  1,301,1.025362,8,0,3,1,2
     301 123  1,301,1.025362,8,0,4,2,2
     301 125  1,301,1.025362,8,1,2,1,2
     301 126  2,301,1.025362,8,0,1,2,2
     301 168  1,301,1.025362,8,0,4,2,2
     301 171  2,301,1.025362,8,0,2,1,2
     302   2  4,302,1.025362,8,1,4,2,2
     302   3  2,302,1.025362,8,1,3,2,2
     302   4  7,302,1.025362,8,0,3,2,2
     302   7  2,302,1.025362,8,0,2,1,2
     302  24  3,302,1.025362,8,0,2,2,2
     302  28  6,302,1.025362,8,0,2,1,2
     302  32  6,302,1.025362,8,1,3,1,2
     302  53  3,302,1.025362,8,0,1,0,2
     302  59  1,302,1.025362,8,0,2,1,2
     303  52  2,303,1.025362,8,1,3,2,2
     303  83  2,303,1.025362,8,1,3,2,2
     303 117  2,303,1.025362,8,1,4,2,2
     304  45  1,304,1.025362,8,0,3,1,2
     304  47  2,304,1.025362,8,0,1,0,2
     304  86  3,304,1.025362,8,1,4,2,2
     304  94  4,304,1.025362,8,1,2,2,2
     304 116  2,304,1.025362,8,1,2,2,2
     304 117  1,304,1.025362,8,1,3,2,2
     304 122  2,304,1.025362,8,0,1,1,2
     401  28  2,401,0.547337,11,0,5,1,1
     401 162  1,401,0.547337,11,1,4,1,1
     401 270  2,401,0.547337,11,0,5,2,1
     401 350  2,401,0.547337,11,1,1,1,1
     401 377  2,401,0.547337,11,0,2,0,1
     401 417  3,401,0.547337,11,1,5,3,1
     402  22  2,402,0.547337,11,1,5,2,1
     402 127  2,402,0.547337,11,0,2,0,1
     402 174  2,402,0.547337,11,0,3,0,1
     402 174  4,402,0.547337,11,1,3,0,1
     402 180  3,402,0.547337,11,1,4,2,1
     402 180  5,402,0.547337,11,1,4,2,1
     402 186  2,402,0.547337,11,1,4,2,1
     403 219  4,403,2.319956,12,1,5,2,2
     403 219  7,403,2.319956,12,1,5,1,2
     403 324  4,403,2.319956,12,1,4,2,2
     403 329  2,403,2.319956,12,0,5,2,2
     403 437  1,403,2.319956,12,1,5,2,2
     404  43  2,404,2.319956,12,1,4,0,2
     404  50  2,404,2.319956,12,0,2,1,2
     404  87  6,404,2.319956,12,1,5,2,2
     404  89  2,404,2.319956,12,1,4,2,2
     404 142  4,404,2.319956,12,1,5,3,2
     404 169  2,404,2.319956,12,0,3,0,2
     405   3  2,405,2.319956,12,1,3,1,2
     405  65  2,405,2.319956,12,0,3,0,2
     405 116  8,405,2.319956,12,0,2,0,2
     405 120  2,405,2.319956,12,0,3,1,2
     405 122  2,405,2.319956,12,0,3,0,2
     405 175  4,405,2.319956,12,0,5,2,2
     405 176  2,405,2.319956,12,1,3,0,2
     405 180  3,405,2.319956,12,1,3,0,2
     405 182  2,405,2.319956,12,0,3,0,2
     405 184  2,405,2.319956,12,0,3,1,2
     406  86  2,406,2.319956,12,1,5,2,2
     406  88  4,406,2.319956,12,1,4,2,2
     406  93  1,406,2.319956,12,1,5,3,2
     406 195  2,406,2.319956,12,1,5,3,2
     406 295  2,406,2.319956,12,1,5,2,2
     501 152  2,501,0.547337,11,1,4,2,1
     501 184  8,501,0.547337,11,1,5,3,1
     501 315  2,501,0.547337,11,1,5,2,1
     501 347  1,501,0.547337,11,1,5,2,1
     502 156  3,502,0.547337,11,1,5,3,1
     502 270  2,502,0.547337,11,1,4,2,1
     503  22  3,503,0.547337,11,1,5,2,1
     503  43  2,503,0.547337,11,0,4,0,1
     503 163  2,503,0.547337,11,1,5,2,1
     503 217  2,503,0.547337,11,1,5,2,1
     503 238  4,503,0.547337,11,1,5,2,1
     503 314  2,503,0.547337,11,0,4,0,1
     503 347 12,503,0.547337,11,1,5,3,1
     504 111  2,504,0.547337,11,1,5,2,1
     504 139  3,504,0.547337,11,1,5,2,1
     504 291  2,504,0.547337,11,1,5,3,1
     505  18  2,505,0.547337,11,1,5,2,1
     505  57  2,505,0.547337,11,1,5,3,1
     505  65  2,505,0.547337,11,1,5,3,1
     505  89  5,505,0.547337,11,1,5,2,1
     505  97  4,505,0.547337,11,1,5,2,1
     505 120 12,505,0.547337,11,1,4,1,1
     505 223  2,505,0.547337,11,1,5,0,1
     505 254  6,505,0.547337,11,1,4,1,1
     506  29  1,506,0.547337,11,1,4,2,1
     506  66  2,506,0.547337,11,1,5,2,1
     506 176  1,506,0.547337,11,1,4,2,1
     506 232  2,506,0.547337,11,1,5,2,1
     506 306  4,506,0.547337,11,1,4,2,1
     507  43  1,507,2.319956,12,1,4,2,2
     507 201  2,507,2.319956,12,1,3,2,2
     507 271  2,507,2.319956,12,1,5,2,2
     507 280  2,507,2.319956,12,1,4,2,2
     508  45  1,508,2.319956,12,1,5,2,2
     508 130  5,508,2.319956,12,1,4,2,2
     508 132  3,508,2.319956,12,1,5,2,2
     508 135  1,508,2.319956,12,1,5,2,2
     508 198  4,508,2.319956,12,1,5,3,2
     508 201  1,508,2.319956,12,0,5,2,2
     508 202  4,508,2.319956,12,1,3,1,2
     508 203  6,508,2.319956,12,0,4,2,2
     508 207  2,508,2.319956,12,1,3,2,2
     508 286  1,508,2.319956,12,0,4,1,2
     509  50  4,509,2.319956,12,1,2,2,2
     509 111  2,509,2.319956,12,0,4,1,2
     509 113  2,509,2.319956,12,1,3,0,2
     509 114  2,509,2.319956,12,1,3,2,2
     509 168  5,509,2.319956,12,1,4,2,2
     509 173  2,509,2.319956,12,0,3,1,2
     509 227  1,509,2.319956,12,0,3,1,2
     509 230  4,509,2.319956,12,1,3,2,2
     509 235  1,509,2.319956,12,0,2,1,2
     510  94  2,510,2.319956,12,1,3,2,2
     510 221  1,510,2.319956,12,1,5,2,2
     511  24  4,511,2.319956,12,1,4,1,2
     511  32  2,511,2.319956,12,1,3,0,2
     511  96  4,511,2.319956,12,1,4,1,2
     511 131  3,511,2.319956,12,1,5,0,2
     511 133  2,511,2.319956,12,1,5,2,2
     511 137  4,511,2.319956,12,1,5,2,2
     601  39  2,601,0.547337,11,1,5,2,1
     601 118  3,601,0.547337,11,1,5,3,1
     601 151  2,601,0.547337,11,1,3,2,1
     601 208  2,601,0.547337,11,1,5,2,1
     601 365  4,601,0.547337,11,1,4,1,1
     602   1  1,602,0.547337,11,0,4,1,1
     602  75  1,602,0.547337,11,1,4,2,1
     602 150  2,602,0.547337,11,1,4,2,1
     602 187  1,602,0.547337,11,0,4,0,1
     603  83  1,603,0.547337,11,1,5,2,1
     603 112  2,603,0.547337,11,1,5,2,1
     603 247  4,603,0.547337,11,1,4,2,1
     603 470  2,603,0.547337,11,1,5,2,1
     604 190  2,604,0.547337,11,1,4,1,1
     604 257  6,604,0.547337,11,1,5,2,1
     604 340  4,604,0.547337,11,1,5,3,1
     604 374  3,604,0.547337,11,0,4,2,1
     604 407  4,604,0.547337,11,1,5,3,1
     604 441  4,604,0.547337,11,1,5,3,1
     604 574  2,604,0.547337,11,1,5,1,1
     605  54  1,605,2.319956,12,0,4,0,2
     605 193  2,605,2.319956,12,0,4,1,2
     605 254  1,605,2.319956,12,1,4,2,2
     606  83  7,606,2.319956,12,1,4,2,2
     606 163  5,606,2.319956,12,1,5,1,2
     606 164  2,606,2.319956,12,0,4,0,2
     606 297  1,606,2.319956,12,1,5,2,2
     606 302  5,606,2.319956,12,1,5,2,2
     606 304  1,606,2.319956,12,1,5,2,2
     607  33  1,607,2.319956,12,1,5,1,2
     607 176  1,607,2.319956,12,1,4,0,2
     6071402  1,607,2.319956,12,1,4,2,2
     608  53  1,608,2.319956,12,0,2,0,2
     608  54  8,608,2.319956,12,1,3,0,2
     608  55  1,608,2.319956,12,1,2,0,2
     608  60  3,608,2.319956,12,0,3,0,2
     608  60  5,608,2.319956,12,0,3,0,2
     608 174  1,608,2.319956,12,1,3,0,2
     608 289  2,608,2.319956,12,1,3,0,2
     608 292  2,608,2.319956,12,0,2,0,2
     608 294  2,608,2.319956,12,1,3,1,2
     608 295  3,608,2.319956,12,1,2,0,2
     608 296  2,608,2.319956,12,1,2,0,2
     608 297  1,608,2.319956,12,1,2,0,2
     608 298  3,608,2.319956,12,1,4,2,2
     701  92  1,701,0.3336,7,0,4,2,1
     701 124  2,701,0.3336,7,1,4,2,1
     701 212  3,701,0.3336,7,1,5,2,1
     701 234  6,701,0.3336,7,0,4,2,1
     701 256  2,701,0.3336,7,1,4,2,1
     701 278  1,701,0.3336,7,0,5,0,1
     701 321  2,701,0.3336,7,1,5,2,1
     701 365  1,701,0.3336,7,1,3,1,1
     702  27  2,702,1.025362,8,1,2,0,2
     702  58  4,702,1.025362,8,1,4,2,2
     702  87  2,702,1.025362,8,1,4,2,2
     702  90  3,702,1.025362,8,0,2,1,2
     703   1  2,703,1.025362,8,0,3,0,2
     703   7  4,703,1.025362,8,0,2,2,2
     703  38  2,703,1.025362,8,0,1,1,2
     703  41  4,703,1.025362,8,0,3,2,2
     703  57  5,703,1.025362,8,0,2,2,2
     703  63  1,703,1.025362,8,0,2,1,2
     703  93  4,703,1.025362,8,1,3,3,2
     801  15  3,801,1.025362,8,0,1,1,2
     801  34  3,801,1.025362,8,0,1,1,2
     801  55  1,801,1.025362,8,0,1,0,2
     801  57  2,801,1.025362,8,0,2,0,2
     801  67  2,801,1.025362,8,0,3,2,2
     801  68  1,801,1.025362,8,0,3,1,2
     801  69  2,801,1.025362,8,0,2,2,2
     801  70  4,801,1.025362,8,1,3,2,2
     801  71  1,801,1.025362,8,0,1,1,2
     901  10  1,901,0.103855,9,0,2,0,1
     902  18  3,902,0.103855,9,0,1,1,1
     902  47  1,902,0.103855,9,1,2,2,1
     902  61  2,902,0.103855,9,1,4,2,1
     902 304  1,902,0.103855,9,1,4,1,1
     902 333  2,902,0.103855,9,1,4,2,1
     903   7  3,903,0.103855,9,1,3,0,1
     903  15  1,903,0.103855,9,0,4,2,1
     903  46  3,903,0.103855,9,0,3,2,1
     903  84  2,903,0.103855,9,1,4,2,1
     903  92  2,903,0.103855,9,0,4,2,1
     903 100  2,903,0.103855,9,1,4,2,1
     903 108  2,903,0.103855,9,1,5,2,1
     903 115  2,903,0.103855,9,1,5,2,1
     903 154  1,903,0.103855,9,0,3,1,1
     903 170  2,903,0.103855,9,0,1,1,1
     903 208  4,903,0.103855,9,1,4,2,1
     903 216  2,903,0.103855,9,1,3,2,1
     903 224  4,903,0.103855,9,1,1,2,1
     903 239  1,903,0.103855,9,0,2,0,1
     903 255  1,903,0.103855,9,1,4,1,1
     904  11  1,904,0.342191,10,0,1,0,2
     904  17  3,904,0.342191,10,0,1,0,2
     904 116  6,904,0.342191,10,0,2,2,2
     904 168  6,904,0.342191,10,0,1,0,2
     905  24  2,905,0.342191,10,0,1,0,2
     905  27  3,905,0.342191,10,0,2,0,2
     905  31  1,905,0.342191,10,0,1,1,2
     905  71  2,905,0.342191,10,1,2,0,2
     905 105  3,905,0.342191,10,1,3,2,2
     905 108  2,905,0.342191,10,1,4,2,2
     905 113  2,905,0.342191,10,1,2,2,2
     905 139  2,905,0.342191,10,0,1,0,2
     906  28  3,906,0.342191,10,0,2,1,2
     906  29  4,906,0.342191,10,0,1,1,2
     906  55  3,906,0.342191,10,1,3,2,2
     906  56  2,906,0.342191,10,1,3,2,2
     906  85  2,906,0.342191,10,1,2,2,2
     906  87  3,906,0.342191,10,0,2,0,2
     906  90  2,906,0.342191,10,1,3,2,2
     906  92  2,906,0.342191,10,0,1,0,2
     906  94  4,906,0.342191,10,1,2,1,2
     906 118  4,906,0.342191,10,1,2,2,2
     906 119  2,906,0.342191,10,1,2,1,2
     906 121  2,906,0.342191,10,0,2,1,2
     907  10  2,907,0.342191,10,0,1,0,2
     907 105  2,907,0.342191,10,0,3,1,2
     907 110  2,907,0.342191,10,0,2,0,2
     907 112  3,907,0.342191,10,0,2,1,2
